2015-12-31 21:34:48: Backup: init
2015-12-31 21:34:48: adding new snapshot: 1451626460
2015-12-31 21:34:51: table: wptz_blog_versions segment: 1/1
2015-12-31 21:34:54: table: wptz_blogs segment: 1/1
2015-12-31 21:34:58: table: wptz_commentmeta segment: 1/1
2015-12-31 21:35:01: table: wptz_comments segment: 1/1
2015-12-31 21:35:04: table: wptz_links segment: 1/1
2015-12-31 21:35:07: table: wptz_options segment: 1/1
2015-12-31 21:35:10: table: wptz_postmeta segment: 1/2
2015-12-31 21:35:13: table: wptz_postmeta segment: 2/2
2015-12-31 21:35:17: table: wptz_posts segment: 1/1
2015-12-31 21:35:20: table: wptz_registration_log segment: 1/1
2015-12-31 21:35:23: table: wptz_signups segment: 1/1
2015-12-31 21:35:27: table: wptz_site segment: 1/1
2015-12-31 21:35:29: table: wptz_sitemeta segment: 1/1
2015-12-31 21:35:32: table: wptz_term_relationships segment: 1/1
2015-12-31 21:35:35: table: wptz_term_taxonomy segment: 1/1
2015-12-31 21:35:38: table: wptz_termmeta segment: 1/1
2015-12-31 21:35:41: table: wptz_terms segment: 1/1
2015-12-31 21:35:44: table: wptz_usermeta segment: 1/1
2015-12-31 21:35:46: table: wptz_users segment: 1/1
2015-12-31 21:35:49: table: arrowchat segment: 1/1
2015-12-31 21:35:52: table: arrowchat_admin segment: 1/1
2015-12-31 21:35:55: table: arrowchat_applications segment: 1/1
2015-12-31 21:35:58: table: arrowchat_banlist segment: 1/1
2015-12-31 21:36:01: table: arrowchat_chatroom_banlist segment: 1/1
2015-12-31 21:36:03: table: arrowchat_chatroom_messages segment: 1/1
2015-12-31 21:36:06: table: arrowchat_chatroom_rooms segment: 1/1
2015-12-31 21:36:09: table: arrowchat_chatroom_users segment: 1/1
2015-12-31 21:36:13: table: arrowchat_config segment: 1/1
2015-12-31 21:36:17: table: arrowchat_graph_log segment: 1/1
2015-12-31 21:36:20: table: arrowchat_notifications segment: 1/1
2015-12-31 21:36:24: table: arrowchat_notifications_markup segment: 1/1
2015-12-31 21:36:28: table: arrowchat_reports segment: 1/1
2015-12-31 21:36:31: table: arrowchat_smilies segment: 1/1
2015-12-31 21:36:34: table: arrowchat_status segment: 1/1
2015-12-31 21:36:38: table: arrowchat_themes segment: 1/1
2015-12-31 21:36:41: table: arrowchat_trayicons segment: 1/1
2015-12-31 21:36:45: table: arrowchat_warnings segment: 1/1
2015-12-31 21:36:49: table: wptz_bp_activity segment: 1/1
2015-12-31 21:36:53: table: wptz_bp_activity_meta segment: 1/1
2015-12-31 21:36:56: table: wptz_bp_friends segment: 1/1
2015-12-31 21:37:00: table: wptz_bp_groups segment: 1/1
2015-12-31 21:37:03: table: wptz_bp_groups_groupmeta segment: 1/1
2015-12-31 21:37:06: table: wptz_bp_groups_members segment: 1/1
2015-12-31 21:37:09: table: wptz_bp_messages_messages segment: 1/1
2015-12-31 21:37:13: table: wptz_bp_messages_meta segment: 1/1
2015-12-31 21:37:17: table: wptz_bp_messages_notices segment: 1/1
2015-12-31 21:37:20: table: wptz_bp_messages_recipients segment: 1/1
2015-12-31 21:37:24: table: wptz_bp_notifications segment: 1/1
2015-12-31 21:37:29: table: wptz_bp_notifications_meta segment: 1/1
2015-12-31 21:37:33: table: wptz_bp_user_blogs segment: 1/1
2015-12-31 21:37:37: table: wptz_bp_user_blogs_blogmeta segment: 1/1
2015-12-31 21:37:42: table: wptz_bp_xprofile_data segment: 1/1
2015-12-31 21:37:46: table: wptz_bp_xprofile_fields segment: 1/1
2015-12-31 21:37:49: table: wptz_bp_xprofile_groups segment: 1/1
2015-12-31 21:37:52: table: wptz_bp_xprofile_meta segment: 1/1
2015-12-31 21:37:56: table: wptz_comment_archive segment: 1/1
2015-12-31 21:38:00: table: wptz_csp3_subscribers segment: 1/1
2015-12-31 21:38:03: table: wptz_eab_booking_meta segment: 1/1
2015-12-31 21:38:07: table: wptz_eab_bookings segment: 1/1
2015-12-31 21:38:11: table: wptz_eg_grids segment: 1/1
2015-12-31 21:38:15: table: wptz_eg_item_elements segment: 1/1
